,stationId,year,pop_1,pop_2
445,Neuherrnhut_ST,1860,254,654
446,Emmaus_SJ,1860,255,817
447,Friedensthal_SC,1860,633,1363
448,Friedensfeld_SC,1860,702,1699
449,Bethabara,1860,326,756
450,Paramaribo,1860,1843,6253
451,PlantageCH,1860,170,7392
452,Genadendal,1860,1103,3459
453,Mamre,1860,353,1272
454,Elim,1860,376,1372
455,Enon,1860,103,367
